delta/B,5Eg(D),5T2g(D),3Eg (H),3T1g(H),3T1g(H),3T2g(H),3T1g(P),3A2g(F),3T2g(F),3T1g(F),3A1g(G),3Eg(G),3T1g(G),3T2g(G),1A1g(I),1A2g(I),1Eg(I),1T1g(I),1T2g(I),1T2g(I),3Eg(D),3T2g(D),1A1g(G),1Eg(G),1T2g(G),1T1g(G),1A1g(S),1Eg(D),1T2g(D),1A2g(F),1T1g(F),1T2g(F),3A2g(F),3T1g(F),3T2g(F),3T1g(P),1A1g(G),1Eg(G),1T1g(G),1T2g(G),1Eg(D),1T2g(D),1A1g(S)
0,0,0,22.4020101,22.4020101,22.4020101,22.4020101,25.554196,25.7456131,25.7456131,25.7456131,27.4020101,27.4020101,27.4020101,27.4020101,33.6030151,33.6030151,33.6030151,33.6030151,33.6030151,33.6030151,34.4020101,34.4020101,35.9841646,35.9841646,35.9841646,35.9841646,41.538843,43.1864183,43.1864183,48.6030151,48.6030151,48.6030151,56.8599146,56.8599146,56.8599146,57.0513317,65.0233731,65.0233731,65.0233731,65.0233731,85.8211193,85.8211193,112.471207
0.753768861,0,0.753768844,22.5393241,22.361446,23.1829108,23.0098555,25.7054008,25.8799698,26.1476018,26.6977312,27.4020101,27.7878995,27.7375302,28.3014472,34.3992902,33.7478882,33.4793907,34.3580503,33.5451595,34.2993957,34.6325754,35.0107412,37.1934611,36.564353,35.8933706,36.8770879,42.0844497,43.1388932,43.9718719,49.2119108,48.9859435,49.094995,57.4793266,57.0983932,57.3569874,57.6487475,65.0250678,65.4250427,65.2537927,65.9146093,86.5179497,86.1197927,112.933411
1.50753772,0,1.50753769,22.6532814,22.1616055,23.8105616,23.5191457,25.8217186,26.0091382,26.5875101,27.7764548,27.4020101,28.1645553,28.2667902,29.2310515,34.861941,33.8816922,33.2764146,34.8837437,33.3927123,34.8270314,34.8957312,35.6139899,38.4672236,37.1845905,36.0061043,37.9701181,42.855941,43.1002286,44.75075,49.8318756,49.3808103,49.6122475,58.1039271,57.2963417,57.8900113,58.3137613,65.0504008,65.8552462,65.5015088,66.8292714,87.2166847,86.4361533,113.415247
2.26130652,0,2.26130653,22.7484774,21.8450477,24.2353869,23.9263317,26.0933932,26.133358,27.0902563,28.5985377,27.4020101,28.524495,29.1898693,30.1713342,35.1377952,34.0054083,33.0204585,35.2706897,33.1442776,35.059152,35.1943643,36.2082889,39.612593,37.813397,36.4603216,39.1711583,43.8912751,43.0781219,45.5184523,50.4619284,49.7875967,50.149858,58.7334761,57.5044246,58.4605729,58.995652,65.1078053,66.3115013,65.7680415,67.7669309,87.9172249,86.7703543,113.916359
3.01507545,0,3.01507538,22.8286256,21.4422085,24.4557877,24.2410088,26.5592538,26.252853,27.6568178,29.208902,27.4020101,28.8618945,30.3940025,31.1133505,35.2946935,34.1199397,32.7237814,35.580843,32.8115892,35.1247651,35.5305842,36.790657,40.5806834,38.4310327,37.1231922,40.4162274,45.1611633,43.0824837,46.2711847,51.1011658,50.2066947,50.7041457,59.36775,57.7270955,59.0700251,59.6901382,65.2079422,66.7914673,66.0550302,68.7269611,88.6194761,87.1225842,114.436422
3.76884413,0,3.76884422,22.8966721,20.9757299,24.5503756,24.4813857,27.151951,26.3678405,28.2751658,29.8042312,27.4020101,29.1727688,31.6482111,32.0523467,35.3655327,34.2261106,32.3927889,35.8446784,32.4125138,35.1530251,35.9054334,37.3585942,41.4148982,39.0199987,37.854093,41.6720754,46.5761344,43.1266646,47.0057085,51.7487638,50.6391118,51.2725603,60.0065314,57.9660817,59.7194422,60.3958807,65.3642676,67.2929736,66.3642337,69.7085289,89.3233518,87.4930678,114.975148
4.52261305,0,4.52261307,22.9549296,20.4622161,24.5889259,24.6665,27.8031746,26.4785289,28.9302965,30.4024121,27.4020101,29.4549736,32.9159435,32.985549,35.3701859,34.3246721,32.0313681,36.0771043,31.9635038,35.1775578,36.3187399,37.9100955,42.1729975,39.560603,38.6081269,42.9199925,48.042,43.2285515,47.7191796,52.4039711,51.0867739,51.8535314,60.6496118,58.2226771,60.4095691,61.1121884,65.5935791,67.8140188,66.6975364,70.7105942,90.0287739,87.8820779,115.532293
5.27638197,0,5.27638191,23.0052161,19.9135138,24.6046307,24.8117927,28.4779925,26.5851156,29.6095691,31.0041394,27.4020101,29.7080427,34.1855867,33.9112688,35.3224158,34.4163053,31.6422601,36.2860817,31.4769598,35.2041294,36.7691545,38.443657,42.893397,40.0304183,39.3713618,44.146794,49.4864359,43.4097324,48.4090616,53.0661068,51.552902,52.4462877,61.296794,58.4981181,61.1407965,61.8386319,65.9162249,68.3527776,67.0569372,71.7318995,90.7356658,88.2899472,116.107656
6.03015089,0,6.03015075,23.0489585,19.3379724,24.6110075,24.9284146,29.1603178,26.6877902,30.3038266,31.6089523,27.4020101,29.9328643,35.4508216,34.8284736,35.2322563,34.5016281,31.2276495,36.4763178,30.9615955,35.2327312,37.2543568,38.958299,43.5963719,40.4095176,40.1385578,45.3406482,50.8560013,43.6896734,49.0731294,53.7345528,52.0425013,53.0506394,61.9478882,58.7936746,61.913147,62.5749422,66.3554887,68.9075892,67.4445528,72.7709862,91.4439623,88.7170854,116.701089
6.78391981,0,6.7839196,23.0872889,18.741495,24.6135804,25.0240741,29.8419322,26.7867299,31.0067676,32.2167663,27.4020101,30.1312927,36.7073317,35.7365465,35.1071495,34.5811947,30.7894384,36.6508781,30.4234812,35.2624485,37.7713681,39.4535704,44.2916206,40.6904296,40.9074221,46.4889837,52.1095716,44.0755088,49.7095239,54.408755,52.5628643,53.6667425,62.6027173,59.1106859,62.7262764,63.3209736,66.9354472,69.4769548,67.8626005,73.8261935,92.153598,89.1639874,117.312492
7.53768826,0,7.53768844,23.1211018,18.128309,24.6146784,25.1040729,30.5178367,26.882108,31.7140503,32.8280075,27.4020101,30.3057412,37.9517638,36.6351156,34.9526508,34.6555101,30.3293593,36.8119284,29.8669271,35.2924636,38.3168756,39.9295817,44.9834108,40.8830766,41.676848,47.5775013,53.2165264,44.5569975,50.3168467,55.0882085,53.1238191,54.2948681,63.261108,59.4505603,63.5794912,64.0766847,67.6769397,70.0595214,68.3133832,74.8956633,92.8645126,89.6312575,117.941829
8.29145718,0,8.29145729,23.1511193,17.501505,24.615309,25.1721005,31.1843844,26.9740867,32.4225641,33.4435427,27.4020101,30.4588543,39.1812714,37.5239058,34.7729209,34.7250264,29.8490289,36.9611005,29.2950741,35.322206,38.8875138,40.3870377,45.6732839,41.0079799,42.4462601,48.5904146,54.1586721,45.1132701,50.8942475,55.7724611,53.737157,54.9351872,63.9228982,59.8147726,64.4717789,64.8421294,68.5924397,70.6540741,68.7992663,75.977348,93.5766508,90.1196281,118.589116
9.0452261,0,9.04522613,23.1779209,16.8633869,24.6159008,25.2307739,31.8385402,27.0628204,33.1299334,34.0645616,27.4020101,30.5932663,40.3932977,38.4025565,34.5711068,34.790152,29.3499711,37.099691,28.7102764,35.3513103,39.4800691,40.8273405,46.3613568,41.0860151,43.2153543,49.5125327,54.9324497,45.7230754,51.4414711,56.4611043,54.4143794,55.5876281,64.5879334,60.2048455,65.401858,65.6174585,69.682157,71.2595214,69.3226432,77.0690025,94.2899598,90.6299824,119.254437
9.79899502,0,9.79899497,23.2019799,16.2157161,24.6166281,25.281995,32.4776093,27.1484573,33.8341796,34.6924284,27.4020101,30.711446,41.585456,39.2702965,34.349603,34.851255,28.8336168,37.2287663,28.114348,35.379559,40.0915992,41.252848,47.0469359,41.1333178,43.9839673,50.3332475,55.5482952,46.3698731,51.9588455,57.1537701,55.162657,56.2518166,65.2560653,60.6223191,66.3682198,66.4029083,70.9338053,71.8748819,69.8858819,78.1681834,95.0043894,91.1633819,119.937943
10.5527639,0,10.5527638,23.2236834,15.5598593,24.6175477,25.3271696,33.0992324,27.2311369,34.5334887,35.3284937,27.4020101,30.8156244,42.7554899,40.1251595,34.1102538,34.9086671,28.3013141,37.3492299,27.5087173,35.4068317,40.7194862,41.6676068,47.7287739,41.1609271,44.7520176,51.0505025,56.0265791,47.0422023,52.4472048,57.8501269,55.980853,56.9270779,65.9271545,61.0687123,67.3691884,67.1988053,72.3261947,72.4992789,70.4912739,79.2722437,95.7198957,91.7210842,120.639857
11.3065329,0,11.3065327,23.2433518,14.896902,24.6186633,25.3673656,33.7014648,27.3109912,35.2260402,35.9738844,27.4020101,30.9077575,43.9012638,40.9615377,33.854495,34.9626897,27.7543191,37.4618631,26.8945302,35.4330741,41.3614523,42.0797764,48.4051256,41.176049,45.5194648,51.6715465,56.3922299,47.7324334,52.9077676,58.5498731,56.8588116,57.6125151,66.6010691,61.5454736,68.4029686,68.0055641,73.8344083,73.1319221,71.1409447,80.3783266,96.4364334,92.3045716,121.360475
12.0603018,0,12.0603015,23.2612513,14.2277224,24.6199585,25.4034045,34.282892,27.3881482,35.9098681,36.629343,27.4020101,30.9895415,45.0207864,41.7605188,33.5834611,35.0135917,27.1938003,37.5673518,26.2727274,35.4582739,42.0155389,42.5112739,49.0736922,41.1833254,46.286299,52.2096822,56.6704271,48.4355038,53.3420088,59.2527399,57.7806709,58.3070955,67.2776809,62.0539058,69.4676985,68.8236847,75.4340578,73.772103,71.8367688,81.4833606,97.1539611,92.9155616,122.100171
12.8140707,0,12.8140704,23.2776055,13.5530364,24.621407,25.4359322,34.8426822,27.4627261,36.5827437,37.2951269,27.4020101,31.0624221,46.1122626,42.4566633,33.298059,35.0616206,26.6208392,37.6663003,25.6440879,35.4824422,42.6800729,43.0310101,49.7314661,41.1857613,47.0525226,52.6797261,56.8843116,49.148005,53.7515314,59.9584799,58.7294887,59.0097374,67.9568719,62.5950955,70.5614887,69.6537563,77.1036457,74.4191872,72.5802638,82.5840653,97.8724397,93.5560138,122.859401
13.5678396,0,13.5678392,23.2926005,12.8734435,24.6229837,25.4654611,35.3805678,27.5348392,37.2420666,37.9710163,27.4020101,31.1276319,47.174157,42.9756244,32.9990276,35.1069962,26.0364334,37.7592487,25.0092688,35.5056055,43.3536382,43.7173003,50.3744799,41.185309,47.818147,53.094951,57.0544372,49.867593,54.1379736,60.6668731,59.690397,59.7193894,68.6385276,63.1698229,71.6824636,70.4964497,78.8253065,75.0726005,73.3724887,83.6769837,98.5918329,94.2281093,123.638709
14.3216076,0,14.321608,23.3063957,12.1894447,24.6246608,25.4924058,35.8967349,27.6045955,37.8847739,38.6564121,27.4020101,31.1862098,48.2052726,43.3954648,32.6869774,35.1499196,25.4414975,37.8466834,24.3688279,35.527804,44.0350327,44.4965616,50.9974686,41.1832538,48.5831859,53.4659824,57.1992412,50.5926219,54.5029372,61.3777186,60.6517827,60.4350691,69.3225402,63.7784736,72.8287839,71.3525188,80.5846244,75.7318291,74.2139447,84.7585239,99.3121043,94.934206,124.438724
15.0753765,0,15.0753769,23.3191281,11.5014673,24.6264171,25.5171055,36.3916884,27.6720967,38.5072877,39.3504611,27.4020101,31.2390389,49.2048178,43.7883719,32.3624259,35.1905754,24.8368706,37.9290377,23.7232462,35.5490779,44.7232399,45.3016206,51.5934573,41.1804372,49.347652,53.8008932,57.3359711,51.3219045,54.8479497,62.0908317,61.6052563,61.1558945,70.0088078,64.4209548,73.9986784,72.2227877,82.3700905,76.3964083,75.1045113,85.8250565,100.033222,95.6767513,125.260167
15.8291454,0,15.8291457,23.3309121,10.8098794,24.6282324,25.539843,36.8661106,27.7374422,39.1055389,40.0521935,27.4020101,31.2868656,50.1724786,44.1793668,32.0258128,35.2291281,24.2233204,38.0067085,23.072941,35.5694711,45.4173982,46.1129422,52.1534108,41.1774133,50.111559,54.1057148,57.4816193,52.0545741,55.1744435,62.8060477,62.5451633,61.8810942,70.6972312,65.0966294,75.1904497,73.1081457,84.1724912,77.0659196,76.0434196,86.873044,100.755155,96.458152,126.103852
16.5829144,0,16.5829146,23.3418505,10.1149975,24.6300917,25.5608492,37.3207601,27.8007236,39.675103,40.7606294,27.4020101,31.3303216,51.1084485,44.580049,31.6775302,35.2657299,23.6015477,38.0800503,22.4182764,35.5890302,46.1167726,46.9247224,52.6662173,41.1745415,50.874907,54.3849761,57.6534648,52.7899761,55.4837462,63.5232148,63.4680276,62.61,71.3877186,65.8042839,76.4024937,74.0095314,85.9843631,77.7399824,77.0292575,87.8992186,101.477872,97.2806018,126.970686
17.3366833,0,17.3366834,23.3520276,9.4171005,24.6319799,25.5803216,37.756402,27.8620276,40.2115163,41.474843,27.4020101,31.3699447,52.013451,44.9982337,31.3179221,35.3005163,22.9721897,38.1493882,21.7595741,35.6077977,46.8207399,47.7349196,53.1195616,41.1720503,51.6376897,54.6421319,57.8686206,53.5276168,55.7770917,64.2421972,64.3720515,63.3420452,72.0801834,66.5421231,77.6333003,74.9279183,87.7995616,78.418255,78.0600465,88.9007764,102.201345,98.1458794,127.861671
18.0904522,0,18.0904523,23.3615214,8.71643342,24.6338857,25.5984296,38.1737676,27.9214397,40.7107739,42.1940013,27.4020101,31.406196,52.8887048,45.4399447,30.9473078,35.3336156,22.3358304,38.2150176,21.0971193,35.6258166,47.5287663,48.5427588,53.5021809,41.1700817,52.3998781,54.8798832,58.1421018,54.2671118,56.0556294,64.9628668,65.256691,64.0767513,72.7745402,67.3078128,78.8814611,75.8642877,89.6129221,79.1004246,79.1333342,89.8755879,102.925548,99.0551457,128.777898
18.8442211,0,18.8442211,23.3703945,8.0132098,24.6358003,25.6153141,38.5735452,27.9790377,41.1699108,42.9173744,27.4020101,31.4394648,53.7358731,45.9095842,30.5659799,35.3651394,21.6929987,38.2772048,20.4311671,35.6431281,48.240392,49.3479698,53.8072136,41.1687123,53.161407,55.1003932,58.4837362,55.0081595,56.3204523,65.6851118,66.1223103,64.8137148,73.4707111,68.0985653,80.1456633,76.819603,91.4200126,79.7862085,80.2463229,90.8223492,103.650452,100.008788,129.720546
19.59799,0,19.5979899,23.3787085,7.30762437,24.6377148,25.6310992,38.9563731,28.034897,41.5875251,43.6443392,27.4020101,31.4700892,54.5569761,46.4096972,30.1742148,35.3951972,21.0441796,38.336196,19.7619435,35.6597701,48.9552224,50.1505038,54.0348053,41.1679824,53.9221344,55.3054397,58.8957286,55.7505201,56.5726369,66.4088229,66.9698932,65.5526005,74.1686206,68.9112412,81.424691,77.7947764,93.2169447,80.4753505,81.3960088,91.7406746,104.376036,101.006322,130.690871
20.351759,0,20.3517588,23.3865113,6.59984799,24.6396231,25.645892,39.322853,28.0890905,41.9639962,44.3743681,27.4020101,31.4983606,55.354294,46.9408618,29.7722764,35.4238819,20.3898153,38.3922161,19.0896545,35.6757789,49.6729171,50.9504171,54.1919925,41.1679008,54.6817525,55.4965163,59.3729259,56.4939987,56.8133518,67.133907,67.8008128,66.2931256,74.868196,69.742495,82.7174246,78.7906394,95.0002475,81.1676168,82.579299,92.6310704,105.102276,102.046421,131.690197
21.1055279,0,21.1055276,23.3938505,5.89003518,24.6415201,25.6597852,39.6735565,28.1416834,42.3013405,45.1070151,27.4020101,31.5245289,56.1302588,47.501897,29.3604196,35.4512827,19.7303053,38.4454673,18.4144862,35.6911897,50.3931784,51.7478166,54.2899724,41.1684585,55.4395038,55.674902,59.9056445,57.238441,57.0441457,67.8602751,68.616652,67.035054,75.5693719,70.588902,84.0228279,79.8079083,96.7667726,81.8627915,83.7931294,93.4948367,105.829148,103.127014,132.719905
21.8592968,0,21.8592965,23.4007638,5.17832412,24.643402,25.6728606,40.0090302,28.1927437,42.6027575,45.8419083,27.4020101,31.5488128,56.8873555,48.0903417,28.9388945,35.4774812,19.0660188,38.4961382,17.7366068,35.7060339,51.1157513,52.5428317,54.3408505,41.1696344,56.1930389,55.8417085,60.483005,57.9837173,57.2680942,68.5878455,69.4190666,67.7781884,76.2720804,71.4471043,85.3399523,80.847147,98.5136332,82.5606809,85.034544,94.3338781,106.556633,104.245466,133.781406
22.6130657,0,22.6130653,23.4072877,4.46484045,24.6452638,25.6851897,40.3298065,28.2423317,42.8720741,46.5787362,27.4020101,31.5714008,57.6280402,48.7030352,28.5079422,35.5025528,18.3972902,38.5444008,17.0561721,35.720343,51.840407,53.335598,54.3555151,41.1713982,56.9308078,55.9979158,61.0951156,58.7297186,57.4974146,69.3165427,70.2096922,68.5223618,76.9762613,72.3139133,86.6679209,81.908745,100.238165,83.2611055,86.3007563,95.1504937,107.284709,105.39879,134.876127
23.3668346,0,23.3668342,23.4134535,3.74969975,24.6471043,25.6968367,40.6364108,28.290505,43.113245,47.3172362,27.4020101,31.5924611,58.3546633,49.3366219,28.0678028,35.5265653,17.7244284,38.5904121,16.3733216,35.7341445,52.5669485,54.126255,54.3428392,41.1737173,57.5320641,56.1443957,61.7339133,59.476358,57.8534711,70.046299,70.9900804,69.2674359,77.6818568,73.1864108,88.0059359,82.9928982,101.937907,83.9639008,87.5891822,95.9471809,108.013356,106.58384,136.005476
24.1206036,0,24.120603,23.4192915,3.03300628,24.6489196,25.7078555,40.9293593,28.3373191,43.3300251,48.0571859,27.4020101,31.6121382,59.0694246,49.9878932,27.6187136,35.5495842,17.0477123,38.6343191,15.6881847,35.7474636,53.2952035,54.9149359,54.3096985,41.176554,57.8017915,56.2819284,62.3931859,60.223559,58.5318543,70.777049,71.7616633,70.0132915,78.3888116,74.0620075,89.3532588,84.0995942,103.610601,84.6689158,88.8974661,96.7264585,108.742555,107.797489,137.170817
24.8743725,0,24.8743719,23.4248241,2.31485427,24.6507111,25.718299,41.2091658,28.3828291,43.5257827,48.7984033,27.4020101,31.6305616,59.7743392,50.6539736,27.1609095,35.5716658,16.3674008,38.676255,15.0008807,35.7603266,54.0250163,55.7017701,54.2613015,41.1798731,57.9964899,56.4112186,63.0682651,60.9712563,59.2765942,71.5087362,72.5257349,70.7598304,79.0970704,74.9384824,90.7092198,85.2286168,105.25419,85.3760138,90.2234749,97.4907475,109.47229,109.036739,138.373425
25.6281414,0,25.6281407,23.4300766,1.59533166,24.6524736,25.7282111,41.4763442,28.4270842,43.7034422,49.5407286,27.4020101,31.647843,60.4712261,51.3323945,26.6946219,35.5928656,15.6837286,38.7163417,14.3115201,35.7727563,54.7562513,56.4868756,54.2015666,41.1836369,58.173853,56.5329045,63.7556759,61.719397,60.0304899,72.2413053,73.2834447,71.5069673,79.8065842,75.8139899,92.0731972,86.3795553,106.866843,86.0850653,91.5653003,98.2422889,110.202544,110.298807,139.61446
